       t        x        y
     568 0.707923 -0.720714
     569 -0.214699 -0.976771
     570 -0.952702 -0.398706
     571 -0.926757 0.448174
     572 -0.154500 0.988017
     573 0.750833 0.679884
     574 1.036244 -0.137517
     575 0.502927 -0.867381
     576 -0.456082 -0.891947
     577 -1.027705 -0.183222
     578 -0.786052 0.642875
     579 0.101702 0.994819
     580 0.901769 0.490353
     581 0.972769 -0.355001
     582 0.266379 -0.964085
     583 -0.668643 -0.754538
     584 -1.046335 0.038642
     585 -0.598900 0.807411
     586 0.351270 0.936949
     587 1.001141 0.280508
     588 0.854917 -0.559073
     589 0.012624 -0.999920
     590 -0.840561 -0.578005
     591 -1.007954 0.259199
     592 -0.374815 0.927982
     593 0.578337 0.821429
     594 1.045084 0.060489
     595 0.687494 -0.738700
     596 -0.241956 -0.970434
     597 -0.963543 -0.375802
     598 -0.913899 0.470453
     599 -0.126784 0.991941
     600 0.769597 0.660593
     601 1.032058 -0.161577
     602 0.478460 -0.880574
     603 -0.480876 -0.879307
     604 -1.032498 -0.159220
     605 -0.767780 0.662502
     606 0.129508 0.991590
     607 0.915188 0.468277
     608 0.962508 -0.378057
     609 0.239291 -0.971088
     610 -0.689520 -0.736955
     611 -1.044914 0.062864
     612 -0.576079 0.822928
     613 0.377362 0.926974
     614 1.008663 0.256876
     615 0.838971 -0.580049
     616 -0.015370 -0.999882
     617 -0.856449 -0.557000
     618 -1.000367 0.282819
     619 -0.348696 0.937890
     620 0.601115 0.805860
     621 1.046438 0.036265
     622 0.666568 -0.756238
     623 -0.269026 -0.963359
     624 -0.973741 -0.352731
     625 -0.900420 0.492506
     626 -0.098970 0.995094
     627 0.787815 0.640930
     628 1.027198 -0.185572
     629 0.453631 -0.893154
     630 -0.505307 -0.866055
     631 -1.036619 -0.135154
     632 -0.748963 0.681755
     633 0.157212 0.987591
     634 0.927985 0.445977
     635 0.951604 -0.400943
     636 0.212016 -0.977352
     637 -0.709900 -0.718926
     638 -1.042816 0.087062
     639 -0.552831 0.837904
     640 0.403164 0.916323
     641 1.015522 0.233138
     642 0.822443 -0.600721
     643 -0.043351 -0.999060
     644 -0.871744 -0.535709
     645 -0.992121 0.306319
     646 -0.322310 0.947107
     647 0.623451 0.789770
     648 1.047114 0.012026
     649 0.645158 -0.773311
     650 -0.295887 -0.955556
     651 -0.983291 -0.329504
     652 -0.886326 0.514320
     653 -0.071078 0.997472
     654 0.805478 0.620913
     655 1.021669 -0.209492
     656 0.428459 -0.905104
     657 -0.529360 -0.852210
     658 -1.040065 -0.111035
     659 -0.729613 0.700617
     660 0.184795 0.982827
